theme_final,platform,created_at,likes,predicted_positive_prob,text
order_issue,google_play,2023-10-03 12:54:08,2,0.9838506426669545,Really good..once it had canceled cod option. But now they ve made it available. It is very easy to place an order. Zomato is soo good. Also glad I'm a gold member. The experience has been great so far
order_issue,google_play,2024-04-02 19:58:33,0,0.9777648892742026,Amazing !!! Dilevery on time .!! No food get damaged!! Food is always hot and fresh!! I am using Zomato from 2 years and it never disappointed me . Keep it up Zomato..
order_issue,google_play,2024-02-04 21:07:35,1,0.9764929366764609,Best app for online food ordering. It has good service if you have problem with your order. Zomato will reply you and manage everything in case of incorrect order.
other,google_play,2026-01-30 17:37:03,0,0.9999748700806551,awesome 👌 thanks zomato
other,google_play,2026-03-21 04:25:13,0,0.999913802234654,Amazing discountss✨️🤗
other,google_play,2026-03-19 22:33:51,0,0.9998988281618475,best food provide thanks zomato
other,google_play,2025-11-02 22:14:55,0,0.9998968115229818,great offers and discounts... easy to use... transparent deals
other,google_play,2026-02-24 23:41:11,0,0.9998886605505302,thank you zomato very good
pricing_fees,google_play,2019-09-03 20:21:38,0,0.9998361874810695,"I genuinely love this app, great selection of restaurants nd food, i like menu of food, really delicious. This is really easy to Choice of good, healthy , nd proper discount prices."
pricing_fees,google_play,2019-02-23 21:57:07,0,0.9998334999896734,"Awesome app for food ordering. Love this app for its discount offers, it helps us a lot to eat better.. 😊 lots of love and best wishes."
pricing_fees,google_play,2021-12-03 13:56:57,0,0.9998256047197408,Easy to use and gives immense discount also fast and good service... Customisable and better than any other food service app i used... Zomato is worked hard and best till now and i m really satisfied with the service.
pricing_fees,google_play,2026-03-03 23:13:40,0,0.9998239153122354,nice place to order food and I really love it all the coupon and discounts are also amazing love to order more further... thank you zomato 🫶🏻
pricing_fees,google_play,2019-08-30 13:06:49,0,0.9997792077408635,"Great offers with reasonable price, its good to order food in online compare to had food in hotels. Thanks to Zomato and Team. Your the best service provider in my experience. Hatsoff."
refund_cancellation,google_play,2021-06-16 20:59:11,1,0.9992558365012146,"Excellent app.. very polite employees, excellent service,and in case of order mismatch, they politely refund . Keep up the good work"
refund_cancellation,google_play,2025-10-08 01:49:56,2,0.9990587445344699,"It is a very good application, no bugs, fast refund and everything, I liked it very much, it is even better than Swiggy, I have been using it for many years, it is the best 👌🏻"
refund_cancellation,google_play,2025-08-20 12:50:56,0,0.9989482151402967,it's easy to use but pls make the cancellation process better and take good care of the delivery guys because they always bring food in time ... overall it's an amazing app
refund_cancellation,google_play,2021-07-20 00:18:38,0,0.9989199228535803,"Wow... Zomato ..... my refund has been initiated so soon.... Thank you so much Fast service .... Superb response in solving issues... Great work., The best customer service Zomato.... Keep it up....."
refund_cancellation,google_play,2020-05-26 09:36:04,1,0.9985261942288525,"Zomato is far more better than Swiggy and other online food delivery Apps. Easy of use, concerns addressed.. Refund or credits given whenever there is a problem. Safe and hygiene food during Covid situations as well. Excellent zomato team, keep up the good work.. Keep providing value added services and discounts as well.. Happy user and consumer."
trust_reviews,google_play,2024-12-31 01:22:22,3,0.9994822188618961,"Great app for discovering new restaurants and ordering food. The interface is easy to use, and it always provides reliable service. I love the detailed reviews and variety of options available. Highly recommend it for food lovers"
trust_reviews,google_play,2020-04-13 18:58:02,0,0.9993948880756472,Amazing app.. gives me great perspective about restaurants. Reviews make a big difference. Very easy to navigate within app.Thank you Zomato for making a Foodies life easy 😊❤👍🏻
trust_reviews,google_play,2023-01-15 17:36:22,0,0.9992645857772173,Amazing app..it's very easy and convenient to use.Options are pretty good and standardized of restaurants are done with ratings.love it
trust_reviews,google_play,2023-08-26 01:47:52,0,0.9991421484163783,"I love zomato app very much because, it always gives me amazing discounts on most of the food and the app is very much friendly and easy to operate. Most customer friendly app which has transparency and authenticity as always. Thank you zomato. Regards, Mohd Aamir"
trust_reviews,google_play,2019-05-12 12:23:20,0,0.9987875692654736,Really a great online food ordering app. Loved the interface and how customers add their reviews. THANKS!!
